Disease,Symptoms,Precautions
Alzheimer's Disease,"memory loss, confusion","stay hydrated, avoid triggers, rest, seek medical evaluation"
Parkinson's Disease,"tremors, slow movement","stay hydrated, avoid triggers, rest, seek medical evaluation"
Multiple Sclerosis,"numbness, muscle weakness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Lupus,"joint pain, rash","stay hydrated, avoid triggers, rest, seek medical evaluation"
Crohn's Disease,"diarrhea, abdominal pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Asthma,"wheezing, chest tightness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Glaucoma,"halo vision, eye pressure","stay hydrated, avoid triggers, rest, seek medical evaluation"
Meniere's Disease,"vertigo, tinnitus","stay hydrated, avoid triggers, rest, seek medical evaluation"
Psoriatic Arthritis,"joint swelling, plaques","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hyperthyroidism,"weight loss, fast heartbeat","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hypothyroidism,"fatigue, weight gain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Ankylosing Spondylitis,"back stiffness, heel pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Rheumatoid Arthritis,"joint stiffness, swelling","stay hydrated, avoid triggers, rest, seek medical evaluation"
Tuberculosis,"fever, night sweats","stay hydrated, avoid triggers, rest, seek medical evaluation"
Epilepsy,"seizures, confusion","stay hydrated, avoid triggers, rest, seek medical evaluation"
Migraine,"throbbing headache, nausea","stay hydrated, avoid triggers, rest, seek medical evaluation"
Celiac Disease,"bloating, diarrhea","stay hydrated, avoid triggers, rest, seek medical evaluation"
Ulcerative Colitis,"bloody stool, cramps","stay hydrated, avoid triggers, rest, seek medical evaluation"
Chronic Kidney Disease,"swelling, reduced urine output","stay hydrated, avoid triggers, rest, seek medical evaluation"
Liver Cirrhosis,"jaundice, weakness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hepatitis B,"fever, dark urine","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hepatitis C,"fatigue, jaundice","stay hydrated, avoid triggers, rest, seek medical evaluation"
Heart Failure,"fatigue, swelling","stay hydrated, avoid triggers, rest, seek medical evaluation"
Coronary Artery Disease,"chest pain, fatigue","stay hydrated, avoid triggers, rest, seek medical evaluation"
Stroke,"numbness, speech trouble","stay hydrated, avoid triggers, rest, seek medical evaluation"
Sickle Cell Disease,"pain episodes, anemia","stay hydrated, avoid triggers, rest, seek medical evaluation"
Leukemia,"fatigue, infections","stay hydrated, avoid triggers, rest, seek medical evaluation"
Lymphoma,swollen lymph nodes,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Pneumonia,"fever, chest pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Bronchitis,"cough, mucus","stay hydrated, avoid triggers, rest, seek medical evaluation"
COPD,shortness of breath,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Anemia,"fatigue, pale skin","stay hydrated, avoid triggers, rest, seek medical evaluation"
Dengue Fever,"rash, joint pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Malaria,"fever, chills","stay hydrated, avoid triggers, rest, seek medical evaluation"
Typhoid,prolonged fever,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Ebola Virus Disease,"severe bleeding, fever","stay hydrated, avoid triggers, rest, seek medical evaluation"
Zika Virus Infection,"rash, joint pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Psoriasis,dry skin patches,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Osteoporosis,bone weakness,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Gout,"joint pain, redness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Cholelithiasis,"abdominal pain, jaundice","stay hydrated, avoid triggers, rest, seek medical evaluation"
Pancreatitis,severe abdominal pain,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Meningitis,"fever, stiff neck","stay hydrated, avoid triggers, rest, seek medical evaluation"
Encephalitis,"confusion, seizures","stay hydrated, avoid triggers, rest, seek medical evaluation"
Myasthenia Gravis,"weak muscles, drooping eyelids","stay hydrated, avoid triggers, rest, seek medical evaluation"
ALS,"muscle weakness, twitching","stay hydrated, avoid triggers, rest, seek medical evaluation"
Guillain-Barre Syndrome,"tingling, weakness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Vertigo,"dizziness, imbalance","stay hydrated, avoid triggers, rest, seek medical evaluation"
Endometriosis,"pelvic pain, heavy periods","stay hydrated, avoid triggers, rest, seek medical evaluation"
PCOS,"irregular periods, acne","stay hydrated, avoid triggers, rest, seek medical evaluation"
Fibromyalgia,"widespread pain, fatigue","stay hydrated, avoid triggers, rest, seek medical evaluation"
Sarcoidosis,"dry cough, fatigue","stay hydrated, avoid triggers, rest, seek medical evaluation"
Scleroderma,"skin thickening, joint pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Thalassemia,"fatigue, bone deformities","stay hydrated, avoid triggers, rest, seek medical evaluation"
Huntington's Disease,involuntary movements,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Wilson's Disease,"tremors, liver problems","stay hydrated, avoid triggers, rest, seek medical evaluation"
HIV/AIDS,"weight loss, fever","stay hydrated, avoid triggers, rest, seek medical evaluation"
COVID-19,"fever, cough","stay hydrated, avoid triggers, rest, seek medical evaluation"
Chickenpox,"itchy rash, fever","stay hydrated, avoid triggers, rest, seek medical evaluation"
Measles,"rash, cough","stay hydrated, avoid triggers, rest, seek medical evaluation"
Mumps,"swelling, fever","stay hydrated, avoid triggers, rest, seek medical evaluation"
Rubella,"rash, joint pain","stay hydrated, avoid triggers, rest, seek medical evaluation"
Shingles,painful rash,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Whooping Cough,"severe cough, vomiting","stay hydrated, avoid triggers, rest, seek medical evaluation"
Tetanus,muscle stiffness,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Botulism,"paralysis, vision issues","stay hydrated, avoid triggers, rest, seek medical evaluation"
Lyme Disease,"skin rash, fever","stay hydrated, avoid triggers, rest, seek medical evaluation"
Rabies,"fever, paralysis","stay hydrated, avoid triggers, rest, seek medical evaluation"
Anthrax,"fever, respiratory issues","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hantavirus,"fever, chills","stay hydrated, avoid triggers, rest, seek medical evaluation"
Q Fever,"skin lesions, numbness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Brucellosis,"vomiting, diarrhea","stay hydrated, avoid triggers, rest, seek medical evaluation"
Leprosy,"abdominal pain, nausea","stay hydrated, avoid triggers, rest, seek medical evaluation"
Gastroenteritis,"bloating, cramps","stay hydrated, avoid triggers, rest, seek medical evaluation"
Peptic Ulcer,"heartburn, chest burning","stay hydrated, avoid triggers, rest, seek medical evaluation"
Irritable Bowel Syndrome,"weight loss, jaundice","stay hydrated, avoid triggers, rest, seek medical evaluation"
GERD,coughing blood,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Pancreatic Cancer,"breast lump, fatigue","stay hydrated, avoid triggers, rest, seek medical evaluation"
Lung Cancer,urinary issues,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Breast Cancer,abnormal bleeding,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Prostate Cancer,"headaches, seizures","stay hydrated, avoid triggers, rest, seek medical evaluation"
Cervical Cancer,mole changes,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Brain Tumor,"headache, dizziness","stay hydrated, avoid triggers, rest, seek medical evaluation"
Melanoma,"dizziness, fainting","stay hydrated, avoid triggers, rest, seek medical evaluation"
Hypertension,irregular heartbeat,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Hypotension,chest pain,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Arrhythmia,shortness of breath,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Aortic Aneurysm,leg swelling,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Pulmonary Embolism,visible veins,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Deep Vein Thrombosis,facial pressure,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Varicose Veins,ear pain,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Sinusitis,sore throat,"stay hydrated, avoid triggers, rest, seek medical evaluation"
Otitis Media,"dizziness, nausea","stay hydrated, avoid triggers, rest, seek medical evaluation"
